Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2014-2015,12.31,35.39,47.69,4.62
Academics Plus School District,12345, 9th Grade Mathematics , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , All Students Percentage of Students ,2015-2016,31.11,31.11,22.22,15.56
Academics Plus School District,12345, 10th Grade Mathematics , All Students Percentage of Students ,2016-2017,21.62,35.71,21.43,30.95
Academics Plus School District,12345, 10th Grade Mathematics , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 10th Grade Mathematics , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 10th Grade Mathematics , All Students Number of Students ,2016-2017,,15,9,13
Academics Plus School District,12345, 10th Grade Mathematics , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , TAGG ,2015-2016,30.77,30.77,15.38,23.08
Academics Plus School District,12345, 10th Grade Mathematics , TAGG ,2016-2017,12.16,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , African American ,2016-2017,6.09,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Hispanic ,2016-2017,14.51,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Caucasian ,2015-2016,34.38,21.88,28.13,15.63
Academics Plus School District,12345, 10th Grade Mathematics , Caucasian ,2016-2017,27.25,21.88,21.88,40.63
Academics Plus School District,12345, 10th Grade Mathematics , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Economically Disadvantaged ,2015-2016,27.27,36.36,18.18,18.18
Academics Plus School District,12345, 10th Grade Mathematics , Economically Disadvantaged ,2016-2017,12.48,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Students with Disabilities ,2016-2017,3.47,RV,RV,RV
Academics Plus School District,12345, 10th Grade Mathematics , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Female ,2015-2016,31.58,31.58,26.32,10.53
Academics Plus School District,12345, 10th Grade Mathematics , Female ,2016-2017,21.30,43.75,31.25,18.75
Academics Plus School District,12345, 10th Grade Mathematics , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Male ,2015-2016,30.77,30.77,19.23,19.23
Academics Plus School District,12345, 10th Grade Mathematics , Male ,2016-2017,21.94,30.77,15.38,38.46
Academics Plus School District,12345, 10th Grade Mathematics , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Mathematics , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , All Students Percentage of Students ,2014-2015,5.88,66.67,27.45,0.00
Academics Plus School District,12345, EOC Algebra I , All Students Percentage of Students ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , All Students Percentage of Students ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , TAGG ,2014-2015,0.00,100,0.00,0.00
Academics Plus School District,12345, EOC Algebra I , TAGG ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , TAGG ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Algebra I , African American ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , African American ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Algebra I , Hispanic ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Hispanic ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Caucasian ,2014-2015,4.55,63.64,31.82,0.00
Academics Plus School District,12345, EOC Algebra I , Caucasian ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Caucasian ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Algebra I , Economically Disadvantaged ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Economically Disadvantaged ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Algebra I , Students with Disabilities ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Students with Disabilities ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Female ,2014-2015,0.00,82.35000000000001,17.65,0.00
Academics Plus School District,12345, EOC Algebra I , Female ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Female ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Male ,2014-2015,8.82,58.83,32.35,0.00
Academics Plus School District,12345, EOC Algebra I , Male ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Male ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Algebra I , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , All Students Percentage of Students ,2014-2015,0.00,72.73,27.27,0.00
Academics Plus School District,12345, EOC Geometry , All Students Percentage of Students ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , All Students Percentage of Students ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , TAGG ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Geometry , TAGG ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , TAGG ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Geometry , African American ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , African American ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Geometry , Hispanic ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Hispanic ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Caucasian ,2014-2015,0.00,72.22,27.78,0.00
Academics Plus School District,12345, EOC Geometry , Caucasian ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Caucasian ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Geometry , Economically Disadvantaged ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Economically Disadvantaged ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, EOC Geometry , Students with Disabilities ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Students with Disabilities ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Female ,2014-2015,0.00,70.58,29.41,0.00
Academics Plus School District,12345, EOC Geometry , Female ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Female ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Male ,2014-2015,0.00,74.08,25.93,0.00
Academics Plus School District,12345, EOC Geometry , Male ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Male ,2016-2017,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, EOC Geometry , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , All Students Percentage of Students ,2015-2016,18.31,25.35,25.35,50.70
Academics Plus School District,12345, 3rd Grade Science , All Students Percentage of Students ,2016-2017,33.70,16.30,14.13,35.87
Academics Plus School District,12345, 3rd Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 3rd Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 3rd Grade Science , All Students Number of Students ,2016-2017,31,15,13,33
Academics Plus School District,12345, 3rd Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , TAGG ,2015-2016,27.27,18.18,18.18,36.36
Academics Plus School District,12345, 3rd Grade Science , TAGG ,2016-2017,54.29,20.00,0.00,25.71
Academics Plus School District,12345, 3rd Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , African American ,2015-2016,30.77,23.08,0.00,23.08
Academics Plus School District,12345, 3rd Grade Science , African American ,2016-2017,47.62,23.81,0.00,28.57
Academics Plus School District,12345, 3rd Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Science , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Caucasian ,2015-2016,12.50,29.17,29.17,58.33
Academics Plus School District,12345, 3rd Grade Science , Caucasian ,2016-2017,29.03,11.29,20.97,38.71
Academics Plus School District,12345, 3rd Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Economically Disadvantaged ,2015-2016,28.57,19.05,19.05,38.10
Academics Plus School District,12345, 3rd Grade Science , Economically Disadvantaged ,2016-2017,48.28,24.14,0.00,27.59
Academics Plus School District,12345, 3rd Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Science , Students with Disabilities ,2016-2017,90.00,0.00,0.00,10.00
Academics Plus School District,12345, 3rd Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Female ,2015-2016,18.75,28.13,25.00,53.13
Academics Plus School District,12345, 3rd Grade Science , Female ,2016-2017,31.82,20.45,13.64,34.09
Academics Plus School District,12345, 3rd Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Male ,2015-2016,17.95,23.08,25.64,48.72
Academics Plus School District,12345, 3rd Grade Science , Male ,2016-2017,35.42,12.50,14.58,37.50
Academics Plus School District,12345, 3rd Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , All Students Percentage of Students ,2015-2016,21.92,30.14,30.14,60.27
Academics Plus School District,12345, 4th Grade Science , All Students Percentage of Students ,2016-2017,22.83,21.74,28.26,27.17
Academics Plus School District,12345, 4th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 4th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 4th Grade Science , All Students Number of Students ,2016-2017,21,20,26,25
Academics Plus School District,12345, 4th Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , TAGG ,2015-2016,35.71,21.43,0.00,21.43
Academics Plus School District,12345, 4th Grade Science , TAGG ,2016-2017,38.24,23.53,14.71,23.53
Academics Plus School District,12345, 4th Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Science , African American ,2016-2017,47.83,13.04,21.74,17.39
Academics Plus School District,12345, 4th Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Science , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Caucasian ,2015-2016,24.14,32.76,29.31,62.07
Academics Plus School District,12345, 4th Grade Science , Caucasian ,2016-2017,16.39,26.23,26.23,31.15
Academics Plus School District,12345, 4th Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Economically Disadvantaged ,2015-2016,30.00,30.00,0.00,30.00
Academics Plus School District,12345, 4th Grade Science , Economically Disadvantaged ,2016-2017,36.36,24.24,15.15,24.24
Academics Plus School District,12345, 4th Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Science , Students with Disabilities ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Female ,2015-2016,19.35,32.26,32.26,64.52
Academics Plus School District,12345, 4th Grade Science , Female ,2016-2017,17.39,21.74,39.13,21.74
Academics Plus School District,12345, 4th Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Male ,2015-2016,23.81,28.57,28.57,57.14
Academics Plus School District,12345, 4th Grade Science , Male ,2016-2017,28.26,21.74,17.39,32.61
Academics Plus School District,12345, 4th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , All Students Percentage of Students ,2014-2015,4.55,69.7,25.76,77.27
Academics Plus School District,12345, 5th Grade Science , All Students Percentage of Students ,2015-2016,19.18,35.62,17.81,53.42
Academics Plus School District,12345, 5th Grade Science , All Students Percentage of Students ,2016-2017,25.77,24.74,23.71,25.77
Academics Plus School District,12345, 5th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 5th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 5th Grade Science , All Students Number of Students ,2016-2017,25,24,23,25
Academics Plus School District,12345, 5th Grade Science , TAGG ,2014-2015,15.00,65,20.00,65.00
Academics Plus School District,12345, 5th Grade Science , TAGG ,2015-2016,21.43,32.14,7.14,39.29
Academics Plus School District,12345, 5th Grade Science , TAGG ,2016-2017,56.00,24.00,8.00,12.00
Academics Plus School District,12345, 5th Grade Science , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Science , African American ,2015-2016,40.00,20.00,0.00,20.00
Academics Plus School District,12345, 5th Grade Science , African American ,2016-2017,64.29,7.14,7.14,21.43
Academics Plus School District,12345, 5th Grade Science , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Science , Caucasian ,2014-2015,1.96,70.58,27.45,86.27
Academics Plus School District,12345, 5th Grade Science , Caucasian ,2015-2016,16.98,33.96,20.75,54.72
Academics Plus School District,12345, 5th Grade Science , Caucasian ,2016-2017,18.06,27.78,27.78,26.39
Academics Plus School District,12345, 5th Grade Science , Economically Disadvantaged ,2014-2015,13.33,60,26.67,66.67
Academics Plus School District,12345, 5th Grade Science , Economically Disadvantaged ,2015-2016,28.57,28.57,4.76,33.33
Academics Plus School District,12345, 5th Grade Science , Economically Disadvantaged ,2016-2017,44.44,27.78,11.11,16.67
Academics Plus School District,12345, 5th Grade Science , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Science , Students with Disabilities ,2015-2016,9.09,27.27,9.09,36.36
Academics Plus School District,12345, 5th Grade Science , Students with Disabilities ,2016-2017,90.91,9.09,0.00,0.00
Academics Plus School District,12345, 5th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , Female ,2014-2015,0.00,68.76,31.25,71.88
Academics Plus School District,12345, 5th Grade Science , Female ,2015-2016,18.18,33.33,12.12,45.45
Academics Plus School District,12345, 5th Grade Science , Female ,2016-2017,16.22,24.32,27.03,32.43
Academics Plus School District,12345, 5th Grade Science , Male ,2014-2015,8.82,70.58,20.59,82.35
Academics Plus School District,12345, 5th Grade Science , Male ,2015-2016,20.00,37.50,22.50,60.00
Academics Plus School District,12345, 5th Grade Science , Male ,2016-2017,31.67,25.00,21.67,21.67
Academics Plus School District,12345, 5th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , All Students Percentage of Students ,2015-2016,17.81,36.99,31.51,68.49
Academics Plus School District,12345, 6th Grade Science , All Students Percentage of Students ,2016-2017,31.18,23.66,26.88,18.28
Academics Plus School District,12345, 6th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 6th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 6th Grade Science , All Students Number of Students ,2016-2017,29,22,25,17
Academics Plus School District,12345, 6th Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , TAGG ,2015-2016,6.67,26.67,13.33,40.00
Academics Plus School District,12345, 6th Grade Science , TAGG ,2016-2017,48.72,28.21,10.26,12.82
Academics Plus School District,12345, 6th Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , African American ,2015-2016,41.67,25.00,8.33,33.33
Academics Plus School District,12345, 6th Grade Science , African American ,2016-2017,50.00,40.00,10.00,0.00
Academics Plus School District,12345, 6th Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Science , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Caucasian ,2015-2016,15.38,38.46,34.62,73.08
Academics Plus School District,12345, 6th Grade Science , Caucasian ,2016-2017,29.31,13.79,37.93,18.97
Academics Plus School District,12345, 6th Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Economically Disadvantaged ,2015-2016,9.09,27.27,18.18,45.45
Academics Plus School District,12345, 6th Grade Science , Economically Disadvantaged ,2016-2017,45.45,27.27,12.12,15.15
Academics Plus School District,12345, 6th Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Science , Students with Disabilities ,2016-2017,81.82,18.18,0.00,0.00
Academics Plus School District,12345, 6th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Female ,2015-2016,11.11,30.56,44.44,75.00
Academics Plus School District,12345, 6th Grade Science , Female ,2016-2017,28.89,35.56,22.22,13.33
Academics Plus School District,12345, 6th Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Male ,2015-2016,24.32,43.24,18.92,62.16
Academics Plus School District,12345, 6th Grade Science , Male ,2016-2017,33.33,12.50,31.25,22.92
Academics Plus School District,12345, 6th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , All Students Percentage of Students ,2014-2015,2.17,86.96,10.87,36.96
Academics Plus School District,12345, 7th Grade Science , All Students Percentage of Students ,2015-2016,24.64,28.99,23.19,52.17
Academics Plus School District,12345, 7th Grade Science , All Students Percentage of Students ,2016-2017,27.54,18.84,28.99,24.64
Academics Plus School District,12345, 7th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 7th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 7th Grade Science , All Students Number of Students ,2016-2017,19,13,20,17
Academics Plus School District,12345, 7th Grade Science , TAGG ,2014-2015,7.69,92.3,0.00,15.38
Academics Plus School District,12345, 7th Grade Science , TAGG ,2015-2016,25.00,25.00,5.00,30.00
Academics Plus School District,12345, 7th Grade Science , TAGG ,2016-2017,46.67,6.67,33.33,13.33
Academics Plus School District,12345, 7th Grade Science , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , African American ,2015-2016,16.67,25.00,8.33,33.33
Academics Plus School District,12345, 7th Grade Science , African American ,2016-2017,30.00,40.00,30.00,0.00
Academics Plus School District,12345, 7th Grade Science , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Caucasian ,2014-2015,2.94,82.35,14.71,44.12
Academics Plus School District,12345, 7th Grade Science , Caucasian ,2015-2016,26.53,26.53,28.57,55.10
Academics Plus School District,12345, 7th Grade Science , Caucasian ,2016-2017,30.61,12.24,30.61,26.53
Academics Plus School District,12345, 7th Grade Science , Economically Disadvantaged ,2014-2015,0.00,100,0.00,18.18
Academics Plus School District,12345, 7th Grade Science , Economically Disadvantaged ,2015-2016,25.00,31.25,6.25,37.50
Academics Plus School District,12345, 7th Grade Science , Economically Disadvantaged ,2016-2017,27.27,9.09,45.45,18.18
Academics Plus School District,12345, 7th Grade Science , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Students with Disabilities ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , Female ,2014-2015,0.00,95.22999999999999,4.76,38.10
Academics Plus School District,12345, 7th Grade Science , Female ,2015-2016,15.15,36.36,27.27,63.64
Academics Plus School District,12345, 7th Grade Science , Female ,2016-2017,24.24,15.15,24.24,36.36
Academics Plus School District,12345, 7th Grade Science , Male ,2014-2015,4.00,80,16.00,36.00
Academics Plus School District,12345, 7th Grade Science , Male ,2015-2016,33.33,22.22,19.44,41.67
Academics Plus School District,12345, 7th Grade Science , Male ,2016-2017,30.56,22.22,33.33,13.89
Academics Plus School District,12345, 7th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , All Students Percentage of Students ,2015-2016,25.00,37.50,25.00,62.50
Academics Plus School District,12345, 8th Grade Science , All Students Percentage of Students ,2016-2017,18.57,22.86,27.14,31.43
Academics Plus School District,12345, 8th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 8th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 8th Grade Science , All Students Number of Students ,2016-2017,13,16,19,22
Academics Plus School District,12345, 8th Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , TAGG ,2015-2016,42.86,28.57,0.00,28.57
Academics Plus School District,12345, 8th Grade Science , TAGG ,2016-2017,29.41,41.18,17.65,11.76
Academics Plus School District,12345, 8th Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Science , African American ,2016-2017,36.36,27.27,18.18,18.18
Academics Plus School District,12345, 8th Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Science , Caucasian ,2014-2015,---,---,---,---
